Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,861.111023,1083.329956,722.221985,819.443970,664.904480,374400
2000-02-01,763.888977,972.221985,736.111023,750.000000,608.556946,133560
2000-03-01,750.000000,972.221985,611.111023,611.111023,495.861176,0
2000-04-01,611.111023,611.111023,611.111023,611.111023,495.861176,0
2000-05-01,611.111023,830.556030,611.111023,830.556030,673.920959,1080
2000-06-01,830.556030,908.333008,0.138890,0.138890,0.112697,360
2000-07-01,0.138890,2.166670,0.138890,2.166670,1.758056,486000
2000-08-01,2.166670,2.250000,2.166670,2.250000,1.825671,27000
2000-09-01,2.250000,2.333330,2.250000,2.250000,1.825671,12600
2000-10-01,2.250000,2.250000,2.166670,2.166670,1.758056,3600
2000-11-01,2.166670,2.333330,2.166670,2.333330,1.893286,1800
2000-12-01,2.333330,2.500000,0.805560,0.833330,0.676172,10800
2001-01-01,2.500000,2.503330,0.611110,0.834440,0.677072,676800
2001-02-01,2.503330,2.503330,0.722220,0.722220,0.586016,0
2001-03-01,2.503330,2.503330,2.500000,2.500000,2.028524,14400
2001-04-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2001-05-01,2.500000,2.500000,2.500000,2.500000,2.028524,90000
2001-06-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2001-07-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2001-08-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2001-09-01,2.166670,2.166670,2.166670,2.166670,1.758056,1800
2001-10-01,2.166670,2.200000,2.166670,2.166670,1.758056,3600
2001-11-01,2.166670,2.500000,2.166670,2.500000,2.028524,1800
2001-12-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2002-01-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2002-02-01,2.500000,2.500000,2.500000,2.500000,2.028524,95400
2002-03-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2002-04-01,2.500000,2.500000,2.470000,2.470000,2.004181,3600
2002-05-01,2.470000,2.470000,2.470000,2.470000,2.004181,0
2002-06-01,2.470000,2.483330,2.470000,2.483330,2.014997,1800
2002-07-01,2.500000,2.500000,2.500000,2.500000,2.028524,1800
2002-08-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2002-09-01,2.500000,2.500000,2.500000,2.500000,2.028524,1800
2002-10-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2002-11-01,2.500000,2.500000,2.500000,2.500000,2.028524,1800
2002-12-01,2.500000,2.500000,2.500000,2.500000,2.028524,0
2003-01-01,2.500000,2.666670,2.500000,2.666670,2.163761,361800
2003-02-01,2.666670,2.666670,2.666670,2.666670,2.163761,0
2003-03-01,2.666670,2.666670,2.666670,2.666670,2.163761,25200
2003-04-01,2.666670,2.666670,2.666670,2.666670,2.163761,0
2003-05-01,2.666670,2.666670,2.666670,2.666670,2.163761,0
2003-06-01,2.666670,2.666670,2.666670,2.666670,2.163761,0
2003-07-01,2.666670,2.666670,2.666670,2.666670,2.163761,37800
2003-08-01,2.666670,2.666670,2.666670,2.666670,2.163761,1800
2003-09-01,2.666670,2.666670,2.666670,2.666670,2.163761,0
2003-10-01,2.666670,2.666670,2.666670,2.666670,2.163761,0
2003-11-01,2.666670,2.683330,2.666670,2.683330,2.177279,3600
2003-12-01,3.166670,3.500000,3.166670,3.500000,2.839932,802800
2004-01-01,3.500000,4.666670,3.500000,4.666670,3.786579,34200
2004-02-01,4.666670,4.666670,4.666670,4.666670,4.301847,0
2004-03-01,4.666670,5.330000,4.666670,5.000000,4.609119,28800
2004-04-01,5.000000,5.000000,4.750000,4.750000,4.378663,30600
2004-05-01,4.750000,4.830000,4.500000,4.500000,4.148207,5400
2004-06-01,4.500000,4.500000,4.500000,4.500000,4.148207,1800
2004-07-01,4.500000,5.480000,4.500000,5.250000,4.839575,21600
2004-08-01,5.250000,5.540000,5.250000,5.540000,5.106903,19800
2004-09-01,5.540000,7.666670,5.540000,7.666670,7.067318,18000
2004-10-01,7.666670,7.666670,6.840000,6.840000,6.305275,9000
2004-11-01,6.840000,6.840000,6.840000,6.840000,6.305275,0
2004-12-01,6.840000,6.840000,6.840000,6.840000,6.305275,0
2005-01-01,6.840000,6.840000,6.840000,6.840000,6.305275,0
